"","k","Accuracy","Kappa"
"1",3,0.943925787128712,0.883091030295525
"2",5,0.947682359895745,0.891182699632582
"3",7,0.94968804499351,0.895447305043102
"4",9,0.950622290450933,0.897450347056381
"5",11,0.951020813015036,0.898319344465687
"6",21,0.95216411618354,0.900772981200363
"7",31,0.952288246924513,0.901073046819187
"8",41,0.952053051445471,0.90060179946056
"9",51,0.952046518572067,0.900611821331946
"10",61,0.952000785128995,0.900533209585595
"11",71,0.951811323477169,0.900155675304763
"12",81,0.951732924770742,0.899994881829577
"13",91,0.951661060346245,0.899853926193966
"14",101,0.951549995864272,0.899631273614926
"15",111,0.951373600599493,0.899266335739179
"16",121,0.951354001339042,0.899236659719601
"17",131,0.951386667114588,0.899307105598208
"18",141,0.951223337852713,0.898976395288501
"19",151,0.951164538918929,0.898857932876671
"20",161,0.951092674494432,0.898716088402801
"21",171,0.951073075490077,0.898671662151121
"22",181,0.951014276940436,0.898554318155484
